localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes
e72db62802b22d4398d6999a092a4e62,Locality 4,b4afb0f88ea7b08dd7a10009c24d16fd,583615.461312,5621760.539131,50.741604,100.185066,47U,1760.207031,0,0, Bedding,79,163,73,-2.249, Fault,Wed Jun 19 00:23:04 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,853cf80a31eb1a905e486361d0cd80be,583446.523364,5621875.667781,50.742664,100.182698,47U,1776.686523,5,8, Bedding,74,305,215,-2.249, Lower erkhelnuur,Tue Jun 18 23:51:58 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,7835f7e0c7c94526b88501636df00562,583456.017161,5621859.402511,50.742516,100.182829,47U,1783.066162,5,6, Bedding,71,323,233,-2.249, Lower erkhelnuur,Tue Jun 18 23:49:09 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,800542bd5fbec67d93d481a6b57ef136,583456.172198,5621843.785027,50.742376,100.182828,47U,1785.321777,5,16, Bedding,66,324,234,-2.249, Lower erkhelnuur,Tue Jun 18 23:48:16 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,c650051ddbe4c72308687661786c8f18,583490.48539,5621783.416121,50.741828,100.183301,47U,1768.047607,0,0, Bedding,74,314,224,-2.249, Lower erkhelnuur,Tue Jun 18 23:35:36 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,c3dfabb1e332b8a4d7db93ec85a51148,583490.48539,5621783.416121,50.741828,100.183301,47U,1768.047607,0,0, Bedding,65,304,214,-2.249, Lower erkhelnuur,Tue Jun 18 23:35:25 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,930370e899aa9f40cecf0c13ec44a147,583490.907137,5621782.879347,50.741823,100.183306,47U,1768.047607,0,0, Bedding,78,318,228,-2.249, Unidentified siliclasctic,Tue Jun 18 23:26:15 2019, Marl to dirty grainstone
e72db62802b22d4398d6999a092a4e62,Locality 4,7c1c448233a821fe7068c59ac827acfd,583492.240403,5621782.604425,50.74182,100.183325,47U,1763.442871,5,6, Bedding,82,312,222,-2.249, Unidentified siliclasctic,Tue Jun 18 23:24:07 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,46564b0989fb74dab611f5902626f65d,583494.03786,5621781.595059,50.741811,100.18335,47U,1767.609863,0,0, Bedding,78,317,227,-2.249, Unidentified siliclasctic,Tue Jun 18 23:11:39 2019, Coarse dirty carb 
e72db62802b22d4398d6999a092a4e62,Locality 4,6907c5b4d077fb9470cb54d10930bb35,583505.402162,5621779.645276,50.741792,100.183511,47U,1768.700195,5,6, Bedding,49,282,192,-2.249, Lower erkhelnuur,Tue Jun 18 21:43:57 2019, Some bedding vis on block surrounded by nondescript grainstone 
e72db62802b22d4398d6999a092a4e62,Locality 4,5e7a63992c842449265a42fbde523884,583521.047464,5621778.96331,50.741783,100.183733,47U,1770.868652,5,4, Bedding,56,296,206,-2.249, Lower erkhelnuur,Tue Jun 18 21:40:41 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,9f485617b289712299fe26e63ac1a0da,583516.976493,5621773.953399,50.741739,100.183674,47U,1773.61792,0,0, Bedding,56,306,216,-2.249, Lower erkhelnuur,Tue Jun 18 21:39:15 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,456f521ab4efe13204e942e35d6f99bc,583523.615393,5621773.197576,50.741731,100.183768,47U,1797.394043,0,0, Bedding,44,289,199,-2.249, Lower erkhelnuur,Tue Jun 18 21:36:09 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,93d8f813cf3fb79c94b89edb2099c5b9,583540.672638,5621776.947981,50.741763,100.18401,47U,1798.490723,0,0, Bedding,57,295,205,-2.249, Lower erkhelnuur,Tue Jun 18 21:33:48 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,c3cd593be2bfcee78280107f46d0e4ba,583564.83256,5621775.310388,50.741744,100.184352,47U,1767.299805,5,16, Bedding,68,309,219,-2.249, Lower erkhelnuur,Tue Jun 18 21:32:03 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,6501baa477e04a0c765da28243960d47,583602.413566,5621773.805209,50.741725,100.184884,47U,1760.648926,10,8, Bedding,69,332,242,-2.249, Lower erkhelnuur,Tue Jun 18 21:29:39 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,25ebe6cc81bc50e538e0e4ec965820ca,583611.717855,5621761.657749,50.741615,100.185013,47U,1765.285156,5,8, Bedding,61,315,225,-2.249, Lower erkhelnuur,Tue Jun 18 21:25:34 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,ce73ea60944f014b408768a445bd4211,583635.791729,5621748.483703,50.741493,100.185352,47U,1783.060547,30,48, Bedding,67,299,209,-2.249, Lower erkhelnuur,Tue Jun 18 21:24:36 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,ddf70413a9c197f3b3e62b8095521b57,583639.114238,5621743.437486,50.741447,100.185397,47U,1774.825195,5,8, Bedding,48,313,223,-2.249, Lower erkhelnuur,Tue Jun 18 21:24:04 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,2437ed0df7e4b69722933ac8983de4d8,583659.481111,5621735.685828,50.741374,100.185684,47U,1793.863525,5,16, Bedding,65,318,228,-2.249, Lower erkhelnuur,Tue Jun 18 21:22:17 2019," Slightly undulating; not unlike silicified layers from lower erk elsewhere"
e72db62802b22d4398d6999a092a4e62,Locality 4,c41a3d7bb3a8e2006dca0f7949d5e310,583666.57197,5621725.09249,50.741278,100.185782,47U,1762.839355,5,12, Bedding,67,314,224,-2.249, Lower erkhelnuur,Tue Jun 18 21:21:07 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,0d54340a790cd0447bc46cdff9af1c95,583679.504123,5621720.974093,50.741239,100.185965,47U,1776.591797,5,8, Bedding,60,318,228,-2.249, Lower erkhelnuur,Tue Jun 18 21:18:09 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,8c2d659d404455ef5b06561bf284f1a0,583684.934361,5621724.305397,50.741268,100.186042,47U,1774.417725,5,3, Bedding,69,308,218,-2.249, Lower erkhelnuur,Tue Jun 18 21:13:55 2019,Perfect 1-2mm lam
e72db62802b22d4398d6999a092a4e62,Locality 4,5e4d2ce34b39003ca1a90f8b9f1b9b63,583690.677667,5621721.022695,50.741238,100.186123,47U,1773.976562,5,12, Bedding,62,315,225,-2.249, Lower erkhelnuur,Tue Jun 18 21:13:09 2019, Rthmite with infrequent abrecc and ssd 
e72db62802b22d4398d6999a092a4e62,Locality 4,863c46ece26bc4475893657d5f3834ff,583704.107425,5621708.745758,50.741126,100.186311,47U,1774.594238,5,8, Bedding,81,306,216,-2.249, Lower erkhelnuur,Tue Jun 18 21:11:16 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,77a6d6e213168723a7b9cd61fca3c32f,583710.590104,5621695.877339,50.741009,100.186399,47U,1765.276855,10,8, Bedding,81,301,211,-2.249, Lower erkhelnuur,Tue Jun 18 21:08:47 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,68cb4d93c668aefb522be3f95be82e3b,583724.319976,5621710.65651,50.74114,100.186597,47U,1755.161133,0,0, Bedding,77,293,203,-2.249, Lower erkhelnuur,Tue Jun 18 21:07:30 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,3d005fc8494951cd0622f5095454cdc5,583743.816528,5621681.376965,50.740874,100.186867,47U,1776.796143,0,0, Bedding,77,314,224,-2.249, Upper khesen,Tue Jun 18 21:04:31 2019, Chert
e72db62802b22d4398d6999a092a4e62,Locality 4,202aaa385c16284f559a3da47170e4d4,583743.813742,5621671.034134,50.740781,100.186865,47U,1781.427246,5,8, Bedding,79,299,209,-2.249, Upper khesen,Tue Jun 18 21:03:13 2019," Underwater; n side river; slaty black gs"
e72db62802b22d4398d6999a092a4e62,Locality 4,4b7212af5ff8019d9dde5acb1e9d23ba,583759.582674,5621664.514261,50.74072,100.187087,47U,1766.915283,5,8, Bedding,73,303,213,-2.249, Upper khesen,Tue Jun 18 21:00:53 2019," Shaly laminated grainstone; black; n side"
e72db62802b22d4398d6999a092a4e62,Locality 4,e6a997bc32f714ade5f2849463fed880,583767.696129,5621645.509849,50.740548,100.187197,47U,1762.535156,5,8, Bedding,43,323,233,-2.249, Upper khesen,Tue Jun 18 20:58:09 2019, Cherty nodules and ssd in dark gs lam  s side river
e72db62802b22d4398d6999a092a4e62,Locality 4,bed43e65911b19ac66dbff3a45458e3a,583868.674627,5621548.730558,50.739663,100.188606,47U,1755.197754,0,0, Bedding,45,334,244,-2.249, Salkhitai,Tue Jun 18 20:40:23 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,0453609ffbaa9715aeab2f7c20d104c2,583876.200396,5621558.552302,50.739751,100.188715,47U,1753.374512,5,8, Bedding,62,315,225,-2.249, Salkhitai,Tue Jun 18 20:39:26 2019,
e72db62802b22d4398d6999a092a4e62,Locality 4,01f587ae3955b710e2dad06c9d048935,583920.57115,5621553.932845,50.739703,100.189342,47U,1750.95459,5,3, Bedding,59,250,160,-2.249, Salkhitai,Tue Jun 18 20:35:52 2019,
