localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,6e51610623e6492fa78fe846edc83bf9,574680.820469,5606218.228885,50.603074,100.055323,47U,1892.330856,5,3, Bedding,88,283,193,-2.249, Middle Erkhelnuur,Sat Jun 15 23:42:45 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,75d88bbc49f7ed30b940d7906125ea77,574565.723067,5606227.353895,50.603171,100.053699,47U,1886.04863,5,4, Bedding,82,89,359,-2.249, Middle Erkhelnuur,Sat Jun 15 23:38:03 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,a710236ed09087ae86be3b45245d1c6a,574410.936382,5606292.590984,50.603777,100.051525,47U,1890.2603,5,3, Bedding,49,284,194,-2.249, Middle Erkhelnuur,Sat Jun 15 23:31:01 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,108d84eca47b332d37af46b270c9e809,574153.549917,5606246.373332,50.603394,100.047879,47U,1896.643112,10,6, Bedding,81,113,23,-2.249, Lower erkhelnuur,Sat Jun 15 23:22:07 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,149254ed7ce33ec933dc524aee214580,574143.890732,5606256.099398,50.603483,100.047745,47U,1901.113327,5,6, Bedding,74,103,13,-2.249, Lower erkhelnuur,Sat Jun 15 23:20:34 2019," No bioturb; grainstone"
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,5160d16f5aaf8454c07e68f63a7f8066,574108.700431,5606245.497218,50.603392,100.047246,47U,1900.356491,5,6, Bedding,60,77,347,-2.249, Arcai Gol,Sat Jun 15 23:18:58 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,4876bcc27cfd247ee54eb67d4fd319fe,574103.506685,5606238.553601,50.60333,100.047171,47U,1898.544724,5,4, Bedding,63,92,2,-2.249, Arcai Gol,Sat Jun 15 23:16:11 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,cb15774f7309253c356eec268ff30c6e,574044.711959,5606172.787011,50.602746,100.046327,47U,1898.00737,5,6, Bedding,66,81,351,-2.249, Arcai Gol,Sat Jun 15 20:32:49 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,4cdcd695c6b211d7785004b8c5f35def,574199.613344,5607373.313819,50.613521,100.048755,47U,1909.332077,5,6, Bedding,48,73,343,-2.249, Upper erkhelnuur,Thu Jun 13 03:16:48 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,b1b17e3f3450daa8ca57c7476d8f0713,574311.737452,5608634.133674,50.624844,100.050592,47U,1938.950241,10,12, Bedding,68,128,38,-2.249, Middle Erkhelnuur,Thu Jun 13 02:56:58 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,cd9385b03031cd1359757f2cf65b5033,574441.214636,5608672.629332,50.625173,100.05243,47U,1943.15947,50,12, Bedding,35,130,40,-2.249, Middle Erkhelnuur,Thu Jun 13 02:50:04 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,590adad7be941aaf0ef8e1b4e09bac6a,574731.962467,5608753.528013,50.625864,100.056556,47U,1951.54985,5,4, Bedding,34,183,93,-2.249, Middle Erkhelnuur,Thu Jun 13 02:42:16 2019, S limb
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,20b2897785db61306aab6e2212a5998e,574735.035065,5608755.953584,50.625885,100.0566,47U,1952.324509,10,6, Bedding,51,246,156,-2.249, Middle Erkhelnuur,Thu Jun 13 02:41:53 2019, N limb
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,469b1127a3746eef53831f41dc379a96,574800.211937,5608860.445779,50.626816,100.057543,47U,1947.188522,5,4, Bedding,76,89,359,-2.249, Middle Erkhelnuur,Thu Jun 13 02:36:50 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,350095b825637342535d9290d05d7d17,574888.465801,5608891.335833,50.627083,100.058797,47U,1946.181198,5,4, Bedding,7,59,329,-2.249, Middle Erkhelnuur,Thu Jun 13 02:32:20 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,695e4489d7c3d6ae78f637203e5871d2,574927.378861,5608969.101302,50.627777,100.059362,47U,1946.617233,5,4, Bedding,20,349,259,-2.249, Middle Erkhelnuur,Thu Jun 13 02:30:54 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,41cee47d62acb53041325517f277c6b2,575066.784366,5609049.214244,50.628479,100.061349,47U,1954.046921,5,3, Bedding,42,94,4,-2.249, Middle Erkhelnuur,Thu Jun 13 02:28:13 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,49588f8b54035597b0ee5ea250170690,575159.818472,5609092.519782,50.628857,100.062673,47U,1951.913864,5,4, Bedding,9,44,314,-2.249, Middle Erkhelnuur,Thu Jun 13 02:25:40 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,775e3a876928ea54ae918d617a21a4d7,575204.783174,5609122.93923,50.629124,100.063315,47U,1955.203171,5,6, Bedding,15,67,337,-2.249, Middle Erkhelnuur,Thu Jun 13 02:24:50 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,b35a2d449e0eb1e4233b6837115d7a92,575236.769335,5609138.816872,50.629263,100.06377,47U,1956.727585,5,4, Bedding,13,123,33,-2.249, Middle Erkhelnuur,Thu Jun 13 02:23:44 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,db5ad38fa56f3c533f7ef0c0c8e0d1d0,575248.056916,5609164.964005,50.629497,100.063935,47U,1957.990768,5,4, Bedding,15,44,314,-2.249, Middle Erkhelnuur,Thu Jun 13 02:23:13 2019,
3a42c2c0d0b5b66854bd2128a2d1ad6a,Locality 2,c4720f15f32e88d895a43bf45bcae5aa,575246.132206,5609182.149458,50.629651,100.063911,47U,1957.834518,5,4, Bedding,21,315,225,-2.249, Middle Erkhelnuur,Thu Jun 13 02:22:11 2019,
