localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,18d8b7c8129aa1a13e175e539247c76d,578750.012982,5639477.402581,50.901578,100.119928,47U,1933.312469,5,3, Bedding,79,159,69,-1.417175, Upper erkhelnur ,Tue Jul 10 17:10:44 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,93c239e21050ce1c43589453394ba2c3,578788.120822,5639426.790362,50.901118,100.120459,47U,1935.512421,5,4, Bedding,79,184,94,-1.417175, Upper erkhelnur ,Tue Jul 10 17:08:09 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,45614f946fc01472bd52be3bd388444e,578487.533582,5640357.136179,50.909523,100.116385,47U,1935.792694,5,3, Bedding,75,162,72,-1.417175, Tuffaceous sst,Tue Jul 10 15:06:10 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,360814bb4e9892729ccc70cb923c39f2,578524.20009,5640694.470659,50.912551,100.116979,47U,1924.814911,5,8, Bedding,37,155,65,-1.417175, Tuffaceous sst,Tue Jul 10 15:00:24 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,a007d7269d52772de4e904021c7a9499,578522.528308,5640689.662852,50.912508,100.116954,47U,1923.019257,5,8, Bedding,33,149,59,-1.417175, Upper erkhelnur ,Tue Jul 10 15:00:17 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,2f1e3250298fe89dcb566a8021e930d1,578548.400497,5640766.052507,50.913192,100.117339,47U,1933.278046,5,6, Bedding,52,146,56,-1.417175, Tuffaceous sst,Tue Jul 10 14:57:07 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,68c48207c15ba7eb0155c439210093fd,578478.197833,5640958.770324,50.914934,100.116382,47U,1924.138397,5,3, Bedding,34,151,61,-1.417175, Middle erkhelnur ,Tue Jul 10 14:52:52 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,23d17b7465e325f5cf9f868be03c01f8,578467.873674,5640961.424943,50.914959,100.116235,47U,1926.994354,5,4, Bedding,43,145,55,-1.417175, Middle erkhelnur ,Tue Jul 10 14:52:22 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,6e48606225fc51a2d980d4c2a8e1f3cc,578456.656877,5640963.091869,50.914976,100.116076,47U,1926.77951,5,4, Bedding,46,160,70,-1.417175, Middle erkhelnur ,Tue Jul 10 14:51:55 2018,
0af1c11dc3a116c74d39b47da516b8ad,Locality 2,da4105fddaf9b44eeb2398a8942efa78,578443.143974,5640999.297065,50.915303,100.115892,47U,1927.535858,10,3, Bedding,87,102,12,-1.417175, Middle erkhelnur ,Tue Jul 10 14:51:20 2018,
