localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,020d671da4d35a90feaea71a45317d9f,559026.239786,5667621.665716,51.15699,99.844052,47U,1721.897106,10,16, Bedding,38,223,133,-2.249, Middle Erkhelnuur,Mon Jul 15 02:05:28 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,f8fdb30c081b41beaf8d959ed13b0972,559027.483785,5667608.279246,51.15687,99.844068,47U,1710.505993,5,6, Bedding,48,214,124,-2.249, Middle Erkhelnuur,Mon Jul 15 02:03:07 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,ad26b09e490c908a4560ceac98f4c933,561862.865119,5665311.846,51.135922,99.884213,47U,1730.999355,30,12, Bedding,53,211,121,-2.249, Middle Erkhelnuur,Mon Jul 15 01:01:13 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,a46c84b5e9b450d7ea2c2819c2531e07,563473.371722,5664553.159298,51.128925,99.907095,47U,1713.185879,5,6, Bedding,69,188,98,-2.249, Middle Erkhelnuur,Mon Jul 15 00:41:45 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,fe62d98213ffc57d05015c668be0c70b,563485.225882,5664557.043708,51.128958,99.907265,47U,1717.092129,5,6, Bedding,62,166,76,-2.249, Middle Erkhelnuur,Mon Jul 15 00:41:21 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,906147eeb4c62699a7d0ab4af3f42723,563602.484921,5664588.129976,51.129225,99.908946,47U,1717.175137,0,0, Bedding,56,204,114,-2.249, Middle Erkhelnuur,Mon Jul 15 00:37:29 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,ac83f9d6c1c9900a64ea1c0b4f13784e,564132.928887,5664487.38671,51.12826,99.916508,47U,1724.241543,5,3, Bedding,70,269,179,-2.249, Middle Erkhelnuur,Mon Jul 15 00:16:21 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,2cb5d054411c56a7dd3439f512211787,564133.496611,5664491.728694,51.128299,99.916517,47U,1722.599697,5,3, Bedding,70,261,171,-2.249, Middle Erkhelnuur,Mon Jul 15 00:16:15 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,0b03d49faef08d86369cc6a0c1246cbe,564107.11936,5664494.360092,51.128325,99.91614,47U,1707.691494,10,16, Bedding,68,250,160,-2.249, Middle Erkhelnuur,Mon Jul 15 00:14:20 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,8c0bca9ae0245dddfb2a8488fb62a2e8,564087.498899,5664484.341331,51.128238,99.915858,47U,1719.666348,5,4, Bedding,70,230,140,-2.249, Middle Erkhelnuur,Mon Jul 15 00:13:29 2019,
6e87573a7b38a6f7f29f7fac315c8c3c,Locality 7,c001d2e5f1aa50421ddaa0fb56ef3aaa,564096.475735,5664484.672141,51.128239,99.915986,47U,1721.039883,5,3, Bedding,70,257,167,-2.249, Middle Erkhelnuur,Mon Jul 15 00:13:12 2019,
