localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes
568b7e1f1ca431fec990462450e9c622,Locality 9,72b9bbf7d60d5cc0e49915a1503290b5,590059.261079,5663714.997229,51.117826,100.286736,47U,1735.321621,5,6, Bedding,85,138,48,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:20:39 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,52fa8095450bff9a2a8b8bc29f6b6c2c,590077.382842,5663725.005936,51.117913,100.286997,47U,1752.964931,5,12, Bedding,89,298,208,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:17:14 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,4b48e0a524cae30aef4880831135aa0b,590051.748035,5663689.258781,51.117596,100.286622,47U,1721.143887,5,6, Bedding,87,73,343,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:14:42 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,cb8dc9d14d21ff23c93b3f46f736e254,590038.53473,5663659.616698,51.117331,100.286426,47U,1693.398281,10,6, Bedding,49,141,51,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:10:08 2019, Bottom limb
568b7e1f1ca431fec990462450e9c622,Locality 9,7f458547dde064f541b28bbc97ca8961,590038.53473,5663659.616698,51.117331,100.286426,47U,1693.398281,10,6, Bedding,80,146,56,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:09:49 2019, Middle limb 
568b7e1f1ca431fec990462450e9c622,Locality 9,83ff82c61b7ba1821b260aced73df179,590038.53473,5663659.616698,51.117331,100.286426,47U,1693.398281,10,6, Bedding,50,140,50,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:09:34 2019, Top limb of upper left fold
568b7e1f1ca431fec990462450e9c622,Locality 9,927ef3d6c71749ccc9e561a49237321d,590037.17861,5663657.299403,51.117311,100.286406,47U,1699.422207,5,4, Bedding,70,132,42,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:06:39 2019, Mineralogical variability  likely a fabric.
568b7e1f1ca431fec990462450e9c622,Locality 9,a47fd65a5c386752c712851a9fedcc44,590460.219645,5663617.71164,51.116888,100.292439,47U,1668.804287,5,3, Bedding,88,247,157,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 00:35:11 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,a0fd325c41239b17cc1478fff990ea7c,587831.854553,5662783.708869,51.109799,100.254693,47U,1724.689297,5,3, Bedding,68,84,354,-2.249, Unidentified siliclasctic,Thu Jul 25 21:12:20 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,f31a32ad6ff37031184f2aad54c3cf1b,587606.220048,5662360.75287,51.106032,100.251368,47U,1734.44125,5,3, Bedding,55,270,180,-2.249, Unidentified siliclasctic,Thu Jul 25 21:07:10 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,da32a35319d6b0a66142664a8d36d3ff,586993.849198,5661891.585183,51.101907,100.24251,47U,1749.539394,5,3, Bedding,83,117,27,-2.249, Unidentified siliclasctic,Thu Jul 25 20:56:38 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,9475a48c7915ab4c6707dbdf0f85ddcb,585827.068874,5661402.235516,51.097683,100.225733,47U,1772.667595,5,3, Bedding,37,51,321,-2.249, Unidentified siliclasctic,Thu Jul 25 20:43:25 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,1b736bf8eae93a05889b1c8bc36ef0cf,585793.88058,5661372.738871,51.097423,100.225252,47U,1775.518669,5,3, Bedding,61,33,303,-2.249, Unidentified siliclasctic,Thu Jul 25 20:43:02 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,74d1bd3a3d19da2ae5ef50269f447a4c,585204.132463,5659609.264379,51.081657,100.216415,47U,1832.793083,5,4, Bedding,59,74,344,-2.249, Unidentified siliclasctic,Thu Jul 25 20:04:21 2019,
